gen	evals	best_params                                                         	Fitness                  	avg      	std     	min        	max      
0  	5    	[1.0338703153564798e-07, 8.073225708812578e-09, 0.04457164448701161]	(0.00035882070482618416,)	0.0139073	0.017044	0.000358821	0.0441323
1  	5    	[5.4698026451470486e-08, 2.588963985032272e-08, 0.06976564309611104]	(0.000260563274415154,)  	0.00874992	0.0104092	0.000260563	0.0245836
2  	5    	[9.426825618980183e-08, 3.5165017286678334e-08, 0.0736598825221187] 	(0.0002477856050314093,) 	0.00229088	0.00248661	0.000247786	0.0062917
3  	5    	[9.426825618980183e-08, 3.5165017286678334e-08, 0.0736598825221187] 	(0.0002477856050314093,) 	0.000995471	0.000888534	0.000315614	0.00268878
4  	5    	[9.426825618980183e-08, 3.5165017286678334e-08, 0.0736598825221187] 	(0.0002477856050314093,) 	0.000687071	0.000174046	0.000429147	0.000943641
5  	5    	[9.426825618980183e-08, 3.5165017286678334e-08, 0.0736598825221187] 	(0.0002477856050314093,) 	0.000540448	0.000102494	0.000401249	0.000653393
6  	5    	[9.144019815968654e-08, 3.054979388533161e-08, 0.07147763473277065] 	(0.00021633680736212282,)	0.000340791	0.000103296	0.000216337	0.000474331
7  	5    	[9.144019815968654e-08, 3.054979388533161e-08, 0.07147763473277065] 	(0.00021633680736212282,)	0.000457548	0.000298964	0.000218386	0.00104611 
8  	5    	[6.346260434958022e-08, 4.938931325844195e-10, 0.07656410408575953] 	(0.00018305128784156161,)	0.000903931	0.00068871 	0.000183051	0.00203632 
9  	5    	[6.900868284391512e-08, 4.4389313258441947e-10, 0.08119818719939664]	(0.00015246660138937078,)	0.000891614	0.00062237 	0.000152467	0.0020458  
10 	5    	[6.900868284391512e-08, 4.4389313258441947e-10, 0.08119818719939664]	(0.00015246660138937078,)	0.000384598	0.000304532	0.000163158	0.00098106 
11 	5    	[6.900868284391512e-08, 4.4389313258441947e-10, 0.08119818719939664]	(0.00015246660138937078,)	0.00031806 	0.000115311	0.000171369	0.000508511
12 	5    	[6.900868284391512e-08, 4.4389313258441947e-10, 0.08119818719939664]	(0.00015246660138937078,)	0.000401157	0.000187247	0.000161159	0.000701739
13 	5    	[5.7832071051654806e-08, 8.655294878574077e-09, 0.0898266343848068] 	(8.090046416734134e-05,) 	0.000421437	0.000276216	8.09005e-05	0.000821628
14 	5    	[5.7832071051654806e-08, 8.655294878574077e-09, 0.0898266343848068] 	(8.090046416734134e-05,) 	0.000330114	0.000151614	0.000159292	0.000613766
15 	5    	[5.7832071051654806e-08, 8.655294878574077e-09, 0.0898266343848068] 	(8.090046416734134e-05,) 	0.000277192	0.000105247	0.000144563	0.000431316
16 	5    	[5.457601198667105e-08, 4.577131055329214e-09, 0.10169019330165896] 	(6.914988847458283e-05,) 	0.000617144	0.000701137	6.91499e-05	0.00194642 
17 	5    	[4.4972426840509123e-08, 1.4204419908093196e-08, 0.10353331647307369]	(6.351007161232517e-05,) 	0.000876789	0.00073841 	6.35101e-05	0.00190695 
